Date,Open,High,Low,Close,Volume
2025-09-12 08:30:00,6697.0,6697.0,6697.0,6697.0,0
2025-09-12 09:00:00,6706.75,6708.5,6705.5,6705.5,5
2025-09-12 10:00:00,6706.5,6706.5,6702.5,6702.5,4
2025-09-12 11:00:00,6705.0,6709.0,6705.0,6708.0,4
2025-09-12 12:00:00,6708.0,6708.75,6708.0,6708.75,2
2025-09-12 13:00:00,6716.25,6716.25,6716.0,6716.0,2
2025-09-12 14:00:00,6715.0,6715.0,6700.0,6710.0,7
2025-09-12 15:00:00,6710.0,6710.0,6710.0,6710.0,0
2025-09-15 08:30:00,6728.0,6735.0,6727.75,6735.0,7
2025-09-15 09:00:00,6733.0,6737.75,6733.0,6737.75,7
2025-09-15 10:00:00,6738.75,6739.75,6733.0,6733.0,6
2025-09-15 11:00:00,6733.0,6733.0,6730.5,6730.5,2
2025-09-15 12:00:00,6724.5,6734.75,6724.5,6734.75,4
2025-09-15 13:00:00,6726.0,6726.0,6726.0,6726.0,1
2025-09-15 14:00:00,6729.5,6729.5,6729.5,6729.5,2
2025-09-15 15:00:00,6734.5,6734.5,6733.0,6733.0,6
2025-09-16 08:30:00,6745.25,6745.25,6731.5,6731.5,6
2025-09-16 09:00:00,6731.5,6733.0,6727.5,6727.5,8
2025-09-16 10:00:00,6725.25,6726.5,6724.25,6724.5,5
2025-09-16 11:00:00,6726.0,6728.5,6726.0,6728.5,3
2025-09-16 12:00:00,6729.5,6730.5,6729.5,6730.5,2
2025-09-16 13:00:00,6730.0,6734.0,6730.0,6734.0,4
2025-09-16 14:00:00,6731.75,6731.75,6725.5,6725.5,8
2025-09-16 15:00:00,6729.5,6732.25,6729.5,6731.0,3
2025-09-17 08:30:00,6727.0,6729.75,6725.25,6727.0,7
2025-09-17 09:00:00,6721.5,6721.75,6719.0,6721.75,10
2025-09-17 10:00:00,6719.75,6724.0,6715.5,6716.5,8
2025-09-17 11:00:00,6716.5,6716.5,6707.75,6709.75,6
2025-09-17 12:00:00,6713.5,6713.5,6713.5,6713.5,1
2025-09-17 13:00:00,6722.75,6743.0,6669.0,6701.0,110
2025-09-17 14:00:00,6708.5,6731.5,6706.75,6713.75,54
2025-09-17 15:00:00,6721.25,6721.5,6721.25,6721.5,2
2025-09-18 08:30:00,6743.0,6746.75,6729.75,6739.0,33
2025-09-18 09:00:00,6750.5,6776.0,6748.75,6756.75,35
2025-09-18 10:00:00,6756.25,6765.5,6750.0,6751.75,24
2025-09-18 11:00:00,6753.0,6766.75,6753.0,6766.75,6
2025-09-18 12:00:00,6762.0,6762.0,6752.5,6752.75,7
2025-09-18 13:00:00,6757.0,6760.25,6749.0,6760.25,9
2025-09-18 14:00:00,6757.0,6757.0,6749.75,6751.75,18
2025-09-18 15:00:00,6749.5,6755.5,6749.5,6755.5,4
2025-09-19 08:30:00,6762.0,6767.75,6755.0,6764.5,24
2025-09-19 09:00:00,6761.0,6763.5,6750.25,6759.75,31
2025-09-19 10:00:00,6757.0,6757.0,6745.0,6756.5,52
2025-09-19 11:00:00,6761.5,6766.25,6761.5,6766.25,8
2025-09-19 12:00:00,6766.25,6771.0,6765.75,6769.0,24
2025-09-19 13:00:00,6770.5,6772.0,6770.25,6772.0,4
2025-09-19 14:00:00,6775.0,6788.0,6774.25,6780.0,33
2025-09-19 15:00:00,6778.75,6779.0,6776.5,6778.75,10
2025-09-22 08:30:00,6764.25,6772.0,6764.0,6772.0,18
2025-09-22 09:00:00,6774.0,6792.25,6774.0,6791.5,31
2025-09-22 10:00:00,6790.5,6793.75,6787.75,6787.75,7
2025-09-22 11:00:00,6789.25,6806.25,6789.25,6806.25,37
2025-09-22 12:00:00,6805.5,6808.0,6804.5,6807.5,12
2025-09-22 13:00:00,6803.0,6810.5,6803.0,6809.75,11
2025-09-22 14:00:00,6812.25,6814.5,6810.5,6810.5,28
2025-09-22 15:00:00,6808.0,6809.75,6804.0,6807.0,22
2025-09-23 08:30:00,6810.0,6814.25,6808.25,6812.5,21
2025-09-23 09:00:00,6808.5,6812.5,6803.5,6806.5,24
2025-09-23 10:00:00,6804.5,6804.5,6797.5,6798.0,13
2025-09-23 11:00:00,6797.75,6800.0,6792.5,6795.0,108
2025-09-23 12:00:00,6792.75,6792.75,6763.5,6773.25,31
2025-09-23 13:00:00,6771.25,6773.25,6762.25,6762.5,71
2025-09-23 14:00:00,6767.0,6776.25,6763.5,6771.5,51
2025-09-23 15:00:00,6774.0,6776.0,6774.0,6774.25,21
2025-09-24 08:30:00,6785.5,6785.5,6767.25,6768.5,79
2025-09-24 09:00:00,6769.0,6776.5,6768.5,6772.25,24
2025-09-24 10:00:00,6770.0,6770.0,6743.0,6743.0,53
2025-09-24 11:00:00,6743.5,6750.75,6737.0,6745.75,88
2025-09-24 12:00:00,6755.75,6758.0,6744.5,6746.5,13
2025-09-24 13:00:00,6744.5,6748.5,6744.5,6748.5,13
2025-09-24 14:00:00,6750.0,6754.0,6749.25,6752.25,7
2025-09-24 15:00:00,6753.75,6757.25,6753.75,6755.75,40
2025-09-25 08:30:00,6712.0,6716.75,6692.0,6695.25,95
2025-09-25 09:00:00,6697.0,6731.0,6696.0,6730.0,56
2025-09-25 10:00:00,6718.0,6733.75,6712.75,6731.5,27
2025-09-25 11:00:00,6729.0,6729.0,6718.5,6718.5,22
2025-09-25 12:00:00,6718.0,6722.0,6695.0,6695.0,47
2025-09-25 13:00:00,6692.0,6721.25,6685.5,6719.0,179
2025-09-25 14:00:00,6718.25,6720.5,6711.25,6718.0,119
2025-09-25 15:00:00,6723.25,6724.5,6719.25,6724.5,29
2025-09-26 08:30:00,6733.25,6757.0,6728.0,6755.25,124
2025-09-26 09:00:00,6757.5,6760.5,6718.25,6723.25,110
2025-09-26 10:00:00,6723.75,6736.5,6718.25,6729.0,77
2025-09-26 11:00:00,6723.25,6752.25,6723.25,6752.25,52
