Date,Open,High,Low,Close,Volume
2024-12-16,6322.0,6322.0,6322.0,6322.0,0
2024-12-17,6298.5,6298.5,6298.5,6298.5,0
2024-12-18,6315.0,6315.0,6103.25,6103.25,10
2024-12-19,6102.25,6102.25,6102.25,6102.25,0
2024-12-20,6177.25,6177.25,6177.25,6177.25,0
2024-12-23,6212.0,6212.0,6212.0,6212.0,0
2024-12-24,6274.0,6274.0,6274.0,6274.0,0
2024-12-26,6271.0,6271.0,6271.0,6271.0,0
2024-12-27,6195.25,6195.25,6195.25,6195.25,0
2024-12-30,6123.0,6123.0,6123.0,6123.0,0
2024-12-31,6098.5,6098.5,6098.5,6098.5,0
2025-01-02,6077.5,6077.5,6077.5,6077.5,0
2025-01-03,6154.5,6154.5,6154.5,6154.5,0
2025-01-06,6186.0,6186.0,6186.0,6186.0,0
2025-01-07,6162.0,6162.0,6115.5,6115.5,4
2025-01-08,6119.5,6119.5,6119.5,6119.5,0
2025-01-10,6026.25,6026.25,6026.25,6026.25,0
2025-01-13,6034.75,6034.75,6034.75,6034.75,0
2025-01-14,6042.0,6042.0,6042.0,6042.0,0
2025-01-15,6164.0,6164.0,6164.0,6164.0,1
2025-01-16,6140.5,6140.5,6140.5,6140.5,0
2025-01-17,6199.5,6199.5,6199.5,6199.5,0
2025-01-21,6252.5,6252.5,6252.5,6252.5,1
2025-01-22,6300.0,6300.0,6300.0,6300.0,1
2025-01-23,6324.0,6324.0,6324.0,6324.0,0
2025-01-24,6305.0,6305.0,6305.0,6305.0,0
2025-01-27,6212.75,6212.75,6212.75,6212.75,0
2025-01-28,6263.0,6263.0,6263.0,6263.0,0
2025-01-29,6260.0,6260.0,6260.0,6260.0,1
2025-01-30,6266.75,6266.75,6266.75,6266.75,0
2025-01-31,6250.0,6250.0,6250.0,6250.0,1
2025-02-03,6211.75,6211.75,6211.75,6211.75,1
2025-02-04,6210.0,6210.0,6210.0,6210.0,1
2025-02-05,6254.25,6254.25,6254.25,6254.25,0
2025-02-06,6274.25,6274.25,6274.25,6274.25,0
2025-02-07,6217.75,6217.75,6217.75,6217.75,0
2025-02-10,6257.0,6257.0,6257.0,6257.0,0
2025-02-11,6260.25,6260.25,6260.25,6260.25,0
2025-02-12,6241.0,6241.0,6241.0,6241.0,0
2025-02-13,6304.75,6304.75,6304.75,6304.75,0
2025-02-14,6301.25,6301.25,6301.25,6301.25,0
2025-02-18,6315.75,6315.75,6315.75,6315.75,0
2025-02-19,6335.75,6335.75,6335.75,6335.75,0
2025-02-20,6308.75,6308.75,6308.75,6308.75,0
2025-02-21,6197.75,6197.75,6197.75,6197.75,0
2025-02-24,6165.0,6165.0,6165.0,6165.0,0
2025-02-25,6131.25,6131.25,6131.25,6131.25,0
2025-02-26,6132.0,6132.0,6132.0,6132.0,0
2025-02-27,6120.75,6120.75,6120.75,6120.75,1
2025-02-28,6056.0,6056.0,6056.0,6056.0,1
2025-03-03,6000.0,6000.0,6000.0,6000.0,1
2025-03-04,5950.0,5984.0,5950.0,5984.0,2
2025-03-05,6003.5,6003.5,6003.5,6003.5,0
2025-03-06,5894.25,5894.25,5894.25,5894.25,0
2025-03-07,5824.75,5824.75,5824.75,5824.75,1
2025-03-10,5820.0,5820.75,5800.0,5800.0,10
2025-03-11,5700.0,5702.5,5700.0,5702.5,2
2025-03-12,5749.0,5749.0,5749.0,5749.0,0
